"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","01-Jan-2004","        537.55","        540.50","        568.45","        540.10","        566.95","        564.65","        556.68","    5941630","          3307588937.95","-","     674373","         11.35"
"SBIN","EQ","02-Jan-2004","        564.65","        567.10","        571.00","        562.50","        571.00","        566.10","        566.29","    2400125","          1359161045.85","-","     403801","         16.82"
"SBIN","EQ","05-Jan-2004","        566.10","        571.25","        604.30","        567.75","        600.25","        600.95","        589.35","    6428468","          3788597579.15","-","     719286","         11.19"
"SBIN","EQ","06-Jan-2004","        600.95","        602.00","        619.35","        592.10","        595.85","        601.15","        608.27","    7969598","          4847706316.55","-","     625413","          7.85"
"SBIN","EQ","07-Jan-2004","        601.15","        612.70","        612.70","        584.25","        595.00","        596.60","        593.61","    6749373","          4006527207.65","-","     540188","          8.00"
"SBIN","EQ","08-Jan-2004","        596.60","        602.00","        629.00","        602.00","        627.70","        620.75","        613.70","    4237472","          2600533114.00","-","     534011","         12.60"
"SBIN","EQ","09-Jan-2004","        620.75","        628.00","        651.00","        625.00","        639.90","        640.05","        639.31","    6916384","          4421699365.75","-","     994549","         14.38"
"SBIN","EQ","12-Jan-2004","        640.05","        645.00","        650.70","        630.55","        638.95","        641.60","        642.18","    5373061","          3450483551.75","-","     671648","         12.50"
"SBIN","EQ","13-Jan-2004","        641.60","        643.00","        652.00","        640.65","        650.15","        645.95","        645.49","    3723374","          2403390778.15","-","     396352","         10.64"
"SBIN","EQ","14-Jan-2004","        645.95","        653.15","        678.90","        653.15","        676.45","        672.45","        666.82","    4252513","          2835669234.30","-","     440009","         10.35"
"SBIN","EQ","15-Jan-2004","        672.45","        678.00","        689.90","        652.10","        657.95","        662.40","        675.88","    6352860","          4293762602.70","-","     569111","          8.96"
