"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","01-Jan-2015","        891.15","        886.30","        892.00","        883.65","        888.00","        887.90","        887.62","     677439","           601305852.35","      16263","     286377","         42.27"
"RELIANCE","EQ","02-Jan-2015","        887.90","        888.10","        896.05","        884.30","        884.95","        885.55","        889.39","    1675827","          1490461120.25","      31269","    1048543","         62.57"
"RELIANCE","EQ","05-Jan-2015","        885.55","        885.00","        890.90","        874.10","        875.55","        875.85","        881.88","    2309591","          2036781222.75","      67035","    1393132","         60.32"
"RELIANCE","EQ","06-Jan-2015","        875.85","        870.00","        873.00","        832.00","        832.50","        836.10","        847.60","    4258043","          3609133016.50","     120767","    2353273","         55.27"
"RELIANCE","EQ","07-Jan-2015","        836.10","        837.10","        858.80","        837.00","        858.00","        854.30","        849.81","    4736315","          4024972095.85","     125939","    2885468","         60.92"
"RELIANCE","EQ","08-Jan-2015","        854.30","        860.10","        862.90","        840.15","        843.00","        842.05","        845.70","    4542457","          3841574196.75","      77800","    2663830","         58.64"
"RELIANCE","EQ","09-Jan-2015","        842.05","        848.40","        862.00","        845.00","        861.50","        860.30","        852.15","    3061366","          2608740826.90","      56795","    1697823","         55.46"
"RELIANCE","EQ","12-Jan-2015","        860.30","        860.50","        861.00","        841.60","        852.50","        850.30","        847.51","    2308716","          1956661982.25","      59103","    1263612","         54.73"
"RELIANCE","EQ","13-Jan-2015","        850.30","        853.00","        854.95","        840.50","        845.00","        843.15","        844.77","    2274108","          1921106779.10","      50755","    1310196","         57.61"
"RELIANCE","EQ","14-Jan-2015","        843.15","        843.00","        847.00","        831.20","        837.00","        834.95","        836.09","    2601286","          2174912516.80","      80257","    1468754","         56.46"
"RELIANCE","EQ","15-Jan-2015","        834.95","        840.00","        871.10","        840.00","        863.00","        864.25","        857.07","    3869247","          3316204147.75","      78705","    2364008","         61.10"
"RELIANCE","EQ","16-Jan-2015","        864.25","        860.00","        875.00","        852.05","        867.50","        869.70","        867.39","    4374388","          3794307436.85","     100057","    2654750","         60.69"
"RELIANCE","EQ","19-Jan-2015","        869.70","        870.20","        886.00","        858.75","        879.75","        879.65","        877.24","    3049291","          2674972253.40","      75661","     965555","         31.66"
"RELIANCE","EQ","20-Jan-2015","        879.65","        881.50","        905.55","        878.85","        902.55","        903.05","        894.34","    3054173","          2731470301.20","      66755","    1481484","         48.51"
"RELIANCE","EQ","21-Jan-2015","        903.05","        905.00","        911.40","        892.05","        907.05","        906.75","        903.73","    3905183","          3529238452.00","      84816","    1996975","         51.14"
"RELIANCE","EQ","22-Jan-2015","        906.75","        905.15","        907.20","        879.50","        884.20","        883.75","        888.39","    5422365","          4817156238.60","     117060","    3881123","         71.58"
"RELIANCE","EQ","23-Jan-2015","        883.75","        890.00","        897.80","        877.00","        886.85","        886.90","        887.29","    4132897","          3667065182.30","      96749","    2451611","         59.32"
"RELIANCE","EQ","27-Jan-2015","        886.90","        892.90","        896.70","        880.50","        887.25","        889.05","        888.34","    4100754","          3642848563.55","     139067","    2715836","         66.23"
"RELIANCE","EQ","28-Jan-2015","        889.05","        886.10","        909.80","        886.10","        906.55","        906.85","        898.00","    4411227","          3961282114.70","      80550","    2626389","         59.54"
"RELIANCE","EQ","29-Jan-2015","        906.85","        907.10","        934.50","        906.90","        927.95","        929.40","        926.40","    8255888","          7648230604.35","     171319","    5054578","         61.22"
"RELIANCE","EQ","30-Jan-2015","        929.40","        930.00","        931.25","        909.00","        916.35","        915.25","        918.15","    4970953","          4564055708.45","      84169","    2810831","         56.55"
"RELIANCE","EQ","02-Feb-2015","        915.25","        916.05","        919.90","        905.70","        908.20","        908.05","        912.65","    4412275","          4026871185.30","      50967","    2196576","         49.78"
"RELIANCE","EQ","03-Feb-2015","        908.05","        913.20","        940.85","        913.20","        936.30","        937.60","        930.35","    3907020","          3634896454.45","      93747","    1799461","         46.06"
