"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","02-Jan-2012","       1619.05","       1629.00","       1636.00","       1611.40","       1627.50","       1627.65","       1624.77","    1446499","          2350223235.55","      64410","     180121","         12.45"
"SBIN","EQ","03-Jan-2012","       1627.65","       1644.00","       1710.00","       1643.00","       1707.05","       1705.65","       1682.09","    2134102","          3589752218.10","      97760","     424563","         19.89"
"SBIN","EQ","04-Jan-2012","       1705.65","       1712.00","       1713.90","       1675.20","       1692.00","       1696.05","       1692.90","    2224163","          3765278677.65","      91893","     259589","         11.67"
"SBIN","EQ","05-Jan-2012","       1696.05","       1696.00","       1718.55","       1680.05","       1690.00","       1692.45","       1702.39","    2134484","          3633731291.45","      87357","     353907","         16.58"
"SBIN","EQ","06-Jan-2012","       1692.45","       1675.00","       1707.60","       1658.05","       1670.00","       1672.75","       1675.29","    2113742","          3541139117.45","      84115","     389195","         18.41"
"SBIN","EQ","07-Jan-2012","       1672.75","       1670.10","       1684.25","       1662.10","       1663.50","       1669.10","       1674.75","     253572","           424669730.15","      10762","      61343","         24.19"
"SBIN","EQ","09-Jan-2012","       1669.10","       1661.70","       1661.70","       1625.10","       1635.00","       1637.25","       1640.88","    2612792","          4287280300.55","      95672","    1110105","         42.49"
"SBIN","EQ","10-Jan-2012","       1637.25","       1649.75","       1708.75","       1649.00","       1705.00","       1702.60","       1686.13","    2808731","          4735873352.75","     123750","     847463","         30.17"
"SBIN","EQ","11-Jan-2012","       1702.60","       1706.00","       1733.70","       1693.30","       1723.00","       1726.95","       1714.98","    2452937","          4206738819.15","      97844","     659143","         26.87"
"SBIN","EQ","12-Jan-2012","       1726.95","       1730.70","       1776.40","       1720.30","       1774.80","       1764.40","       1759.24","    2516248","          4426690993.80","     106692","     640669","         25.46"
"SBIN","EQ","13-Jan-2012","       1764.40","       1776.85","       1799.90","       1770.00","       1773.00","       1776.10","       1785.36","    2046829","          3654333267.65","      85083","     580849","         28.38"
"SBIN","EQ","16-Jan-2012","       1776.10","       1756.20","       1834.90","       1748.40","       1830.00","       1816.40","       1783.87","    2126579","          3793549106.40","      84597","     475042","         22.34"
"SBIN","EQ","17-Jan-2012","       1816.40","       1838.00","       1872.40","       1835.05","       1838.85","       1844.00","       1853.26","    2271647","          4209950828.50","      92546","     689718","         30.36"
"SBIN","EQ","18-Jan-2012","       1844.00","       1850.00","       1871.00","       1820.00","       1864.85","       1865.35","       1847.51","    2171216","          4011347774.40","      89087","     395031","         18.19"
"SBIN","EQ","19-Jan-2012","       1865.35","       1880.00","       1912.45","       1875.10","       1880.20","       1884.30","       1895.21","    1702289","          3226187100.55","      73633","     593186","         34.85"
"SBIN","EQ","20-Jan-2012","       1884.30","       1898.00","       1944.00","       1895.15","       1937.00","       1932.85","       1920.16","    2637725","          5064861670.20","     112102","     986537","         37.40"
"SBIN","EQ","23-Jan-2012","       1932.85","       1931.90","       1967.10","       1921.00","       1940.00","       1940.50","       1947.21","    1683057","          3277273518.45","      73914","     583047","         34.64"
"SBIN","EQ","24-Jan-2012","       1940.50","       1932.00","       2058.00","       1926.70","       2043.90","       2040.80","       2007.90","    5113138","         10266673525.70","     225464","    1139654","         22.29"
"SBIN","EQ","25-Jan-2012","       2040.80","       2055.25","       2085.95","       2039.90","       2045.00","       2058.00","       2066.49","    3381896","          6988637922.55","     135029","    1234316","         36.50"
"SBIN","EQ","27-Jan-2012","       2058.00","       2064.40","       2070.00","       2017.90","       2034.80","       2040.60","       2038.63","    2106052","          4293454667.45","     101931","     477605","         22.68"
"SBIN","EQ","30-Jan-2012","       2040.60","       2015.00","       2058.75","       1970.15","       1972.00","       1985.25","       2021.68","    2077455","          4199940250.20","     104125","     502323","         24.18"
"SBIN","EQ","31-Jan-2012","       1985.25","       2019.85","       2073.00","       2012.00","       2054.00","       2061.60","       2049.37","    2975102","          6097076760.55","     116813","     899710","         30.24"
"SBIN","EQ","01-Feb-2012","       2061.60","       2051.00","       2088.40","       2042.50","       2079.50","       2077.65","       2063.07","    2756848","          5687575937.25","     137660","     922394","         33.46"
"SBIN","EQ","02-Feb-2012","       2077.65","       2095.00","       2113.40","       1982.30","       2065.05","       2072.60","       2057.17","    5533056","         11382423777.95","     202567","    1252411","         22.64"
