"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","01-Jan-2013","        839.55","        844.00","        846.60","        839.10","        840.60","        840.70","        842.74","    1561532","          1315958207.20","      25825","     841458","         53.89"
"RELIANCE","EQ","02-Jan-2013","        840.70","        844.00","        856.00","        842.55","        844.00","        847.95","        849.46","    3072592","          2610048530.35","      82129","    1551437","         50.49"
"RELIANCE","EQ","03-Jan-2013","        847.95","        848.60","        862.00","        844.60","        860.10","        860.75","        855.58","    3946902","          3376883367.35","     103363","    2331395","         59.07"
"RELIANCE","EQ","04-Jan-2013","        860.75","        861.90","        864.60","        853.55","        862.65","        861.85","        860.42","    3041614","          2617050660.05","      67079","    1787304","         58.76"
"RELIANCE","EQ","07-Jan-2013","        861.85","        865.70","        871.00","        851.80","        852.00","        856.60","        860.91","    3498964","          3012297917.90","      76315","    2240626","         64.04"
"RELIANCE","EQ","08-Jan-2013","        856.60","        855.10","        858.10","        847.90","        848.95","        850.65","        852.15","    3194175","          2721909997.55","      82769","    2112754","         66.14"
"RELIANCE","EQ","09-Jan-2013","        850.65","        852.40","        859.85","        848.65","        854.60","        852.70","        854.64","    3902332","          3335077756.60","      56709","    2920516","         74.84"
"RELIANCE","EQ","10-Jan-2013","        852.70","        857.75","        858.95","        847.00","        848.15","        850.05","        851.17","    2112066","          1797734740.15","      54778","    1323235","         62.65"
"RELIANCE","EQ","11-Jan-2013","        850.05","        852.50","        853.00","        836.25","        838.30","        839.90","        841.17","    1840162","          1547881061.10","      46216","    1062682","         57.75"
"RELIANCE","EQ","14-Jan-2013","        839.90","        841.00","        853.00","        839.00","        850.00","        847.55","        844.16","    1614000","          1362473064.20","      64347","     873130","         54.10"
"RELIANCE","EQ","15-Jan-2013","        847.55","        846.15","        851.80","        838.00","        847.10","        847.15","        844.51","    2374487","          2005275789.85","      88697","    1209356","         50.93"
"RELIANCE","EQ","16-Jan-2013","        847.15","        846.05","        870.90","        846.05","        860.00","        861.35","        864.11","    4469088","          3861802788.80","      95112","    2147337","         48.05"
"RELIANCE","EQ","17-Jan-2013","        861.35","        862.10","        893.55","        859.75","        888.00","        890.00","        879.41","    5055697","          4446039378.85","     127554","    2576730","         50.97"
"RELIANCE","EQ","18-Jan-2013","        890.00","        895.00","        902.95","        885.65","        898.00","        900.20","        895.99","    5201345","          4660332028.60","     134895","    2625056","         50.47"
"RELIANCE","EQ","21-Jan-2013","        900.20","        938.10","        955.00","        918.05","        919.90","        919.95","        930.67","   10047910","          9351326003.65","     216013","    5344307","         53.19"
"RELIANCE","EQ","22-Jan-2013","        919.95","        920.00","        930.70","        915.55","        921.70","        920.05","        925.11","    4266371","          3946847006.75","      92922","    2701782","         63.33"
"RELIANCE","EQ","23-Jan-2013","        920.05","        922.10","        928.80","        916.20","        923.25","        923.05","        922.25","    2674869","          2466891969.85","      53437","    1484553","         55.50"
"RELIANCE","EQ","24-Jan-2013","        923.05","        925.00","        928.35","        907.00","        918.00","        915.55","        915.97","    3071712","          2813581980.25","      86396","    2066252","         67.27"
"RELIANCE","EQ","25-Jan-2013","        915.55","        916.25","        917.35","        905.10","        911.00","        912.20","        910.25","    3220389","          2931351606.70","     113798","    2221014","         68.97"
"RELIANCE","EQ","28-Jan-2013","        912.20","        911.35","        913.15","        895.00","        896.75","        897.55","        900.48","    3063239","          2758383230.55","      82131","    1972532","         64.39"
"RELIANCE","EQ","29-Jan-2013","        897.55","        895.00","        902.00","        880.10","        882.95","        882.85","        891.40","    3529188","          3145932196.75","      88307","    2290423","         64.90"
"RELIANCE","EQ","30-Jan-2013","        882.85","        887.50","        903.40","        887.50","        899.75","        899.40","        898.26","    4032649","          3622355830.95","     122000","    2789738","         69.18"
"RELIANCE","EQ","31-Jan-2013","        899.40","        896.65","        898.00","        883.10","        887.25","        886.65","        887.69","    3825017","          3395434980.00","      87191","    2312936","         60.47"
"RELIANCE","EQ","01-Feb-2013","        886.65","        891.35","        899.80","        883.60","        895.00","        894.00","        892.30","    1863597","          1662884081.40","      58544","     895902","         48.07"
"RELIANCE","EQ","04-Feb-2013","        894.00","        896.05","        901.00","        884.10","        890.50","        886.70","        892.96","    3130914","          2795787588.25","      75743","    2198711","         70.23"
"RELIANCE","EQ","05-Feb-2013","        886.70","        884.00","        885.90","        873.00","        873.95","        874.75","        876.88","    2219184","          1945966447.50","      75475","    1406404","         63.37"
"RELIANCE","EQ","06-Feb-2013","        874.75","        880.45","        882.90","        870.80","        875.45","        875.65","        877.32","    2257604","          1980644219.50","      63286","    1355726","         60.05"
"RELIANCE","EQ","07-Feb-2013","        875.65","        871.60","        882.00","        868.35","        871.20","        872.90","        874.40","    1952688","          1707424343.40","      72846","    1140205","         58.39"
"RELIANCE","EQ","08-Feb-2013","        872.90","        869.95","        874.00","        857.00","        860.15","        863.55","        865.98","    2190791","          1897181047.25","      76919","    1311707","         59.87"
"RELIANCE","EQ","11-Feb-2013","        863.55","        865.00","        875.00","        860.60","        870.00","        868.40","        868.66","    1904074","          1654002433.80","      52486","    1006646","         52.87"
"RELIANCE","EQ","12-Feb-2013","        868.40","        868.60","        880.35","        865.20","        876.50","        875.45","        873.93","    2223818","          1943460779.50","      72638","    1216816","         54.72"
"RELIANCE","EQ","13-Feb-2013","        875.45","        884.00","        888.00","        872.50","        881.70","        879.00","        881.76","    2407720","          2123037547.70","      56398","    1463013","         60.76"
"RELIANCE","EQ","14-Feb-2013","        879.00","        880.00","        883.45","        851.00","        852.45","        856.05","        868.12","    2808132","          2437807681.45","      99837","    1731363","         61.66"
"RELIANCE","EQ","15-Feb-2013","        856.05","        854.90","        857.40","        834.10","        843.75","        845.80","        844.06","    3289431","          2776479125.70","     102410","    1771944","         53.87"
"RELIANCE","EQ","18-Feb-2013","        845.80","        848.00","        854.60","        843.20","        846.55","        847.50","        849.98","    1213793","          1031705457.55","      37609","     497085","         40.95"
"RELIANCE","EQ","19-Feb-2013","        847.50","        849.00","        855.00","        834.25","        854.25","        848.40","        842.32","    2212004","          1863205014.15","      67628","     906442","         40.98"
"RELIANCE","EQ","20-Feb-2013","        848.40","        857.95","        878.85","        856.60","        875.50","        874.80","        869.85","    3399774","          2957281772.15","      83256","    1304042","         38.36"
"RELIANCE","EQ","21-Feb-2013","        874.80","        869.00","        876.80","        853.65","        856.00","        859.20","        863.96","    3706369","          3202151449.30","      78597","    1849224","         49.89"
"RELIANCE","EQ","22-Feb-2013","        859.20","        858.50","        872.00","        858.00","        862.50","        862.60","        865.72","    2223041","          1924530729.65","      80843","    1056149","         47.51"
"RELIANCE","EQ","25-Feb-2013","        862.60","        864.00","        864.95","        851.00","        851.15","        854.35","        854.99","    2258056","          1930616726.55","      90782","    1251247","         55.41"
"RELIANCE","EQ","26-Feb-2013","        854.35","        849.70","        849.70","        818.75","        828.80","        823.50","        831.39","    3080139","          2560792337.65","     109004","    1537957","         49.93"
"RELIANCE","EQ","27-Feb-2013","        823.50","        830.00","        840.95","        827.15","        830.00","        831.30","        833.99","    4048013","          3375995341.30","     116288","    2685974","         66.35"
"RELIANCE","EQ","28-Feb-2013","        831.30","        837.20","        839.55","        805.75","        817.00","        813.85","        819.00","    6324405","          5179692459.70","     130981","    3832737","         60.60"
"RELIANCE","EQ","01-Mar-2013","        813.85","        816.00","        818.50","        805.50","        808.20","        810.40","        811.41","    3178835","          2579339959.65","      71387","    1704933","         53.63"
"RELIANCE","EQ","04-Mar-2013","        810.40","        808.90","        818.25","        804.90","        812.10","        812.60","        812.14","    3416863","          2774969720.45","      79898","    2243926","         65.67"
"RELIANCE","EQ","05-Mar-2013","        812.60","        819.10","        834.45","        819.10","        825.75","        826.35","        827.47","    3008011","          2489027930.50","      80798","    1699963","         56.51"
"RELIANCE","EQ","06-Mar-2013","        826.35","        831.90","        838.40","        826.70","        834.55","        835.25","        833.46","    2463693","          2053380844.85","      59431","    1323917","         53.74"
"RELIANCE","EQ","07-Mar-2013","        835.25","        831.25","        841.50","        824.05","        841.50","        836.50","        830.21","    2406954","          1998267485.55","      87301","    1378229","         57.26"
"RELIANCE","EQ","08-Mar-2013","        836.50","        843.00","        854.70","        840.00","        852.10","        851.30","        847.87","    2315993","          1963667172.55","      77766","    1162031","         50.17"
"RELIANCE","EQ","11-Mar-2013","        851.30","        852.10","        860.60","        840.05","        841.50","        844.50","        852.03","    2415898","          2058416676.80","      71745","    1229665","         50.90"
"RELIANCE","EQ","12-Mar-2013","        844.50","        850.50","        854.50","        843.55","        845.85","        847.85","        849.93","    1954963","          1661573330.35","      67429","     792518","         40.54"
"RELIANCE","EQ","13-Mar-2013","        847.85","        842.20","        856.60","        840.20","        841.75","        845.00","        849.89","    2149116","          1826513774.45","      81751","     987912","         45.97"
"RELIANCE","EQ","14-Mar-2013","        845.00","        844.00","        863.45","        835.25","        861.30","        860.05","        851.07","    3380827","          2877312819.55","      77247","    1688905","         49.96"
"RELIANCE","EQ","15-Mar-2013","        860.05","        864.75","        869.40","        838.30","        843.60","        843.65","        849.45","    2924340","          2484092222.85","      96702","    1174871","         40.18"
"RELIANCE","EQ","18-Mar-2013","        843.65","        835.00","        843.50","        830.80","        834.50","        834.30","        836.76","    1833998","          1534607230.05","      42162","     942438","         51.39"
"RELIANCE","EQ","19-Mar-2013","        834.30","        836.60","        839.00","        811.90","        825.05","        825.00","        824.98","    4107716","          3388779276.25","      76721","    2460720","         59.90"
"RELIANCE","EQ","20-Mar-2013","        825.00","        829.40","        829.80","        813.35","        820.50","        822.70","        820.16","    4612611","          3783073213.90","     132894","    2732973","         59.25"
"RELIANCE","EQ","21-Mar-2013","        822.70","        825.00","        832.80","        804.75","        806.00","        812.60","        820.76","    3808222","          3125641485.90","      86056","    2019385","         53.03"
"RELIANCE","EQ","22-Mar-2013","        812.60","        808.30","        821.00","        804.35","        810.95","        810.60","        811.54","    2714879","          2203241993.20","      87272","    1515220","         55.81"
"RELIANCE","EQ","25-Mar-2013","        810.60","        820.60","        823.35","        802.25","        806.90","        809.25","        814.29","    3213575","          2616770152.75","      80772","    2036794","         63.38"
"RELIANCE","EQ","26-Mar-2013","        809.25","        802.50","        805.00","        780.00","        782.00","        783.35","        790.33","    4449515","          3516586805.70","     122048","    2794347","         62.80"
"RELIANCE","EQ","28-Mar-2013","        783.35","        785.00","        785.95","        764.40","        778.00","        772.90","        773.51","    6060564","          4687928632.75","     148724","    4094247","         67.56"
"RELIANCE","EQ","01-Apr-2013","        772.90","        781.00","        790.80","        773.80","        779.35","        778.75","        779.78","    1903323","          1484177315.40","      55306","     867814","         45.59"
"RELIANCE","EQ","02-Apr-2013","        778.75","        780.20","        796.50","        778.30","        795.45","        793.90","        788.57","    2539732","          2002765080.20","      72451","    1455258","         57.30"
"RELIANCE","EQ","03-Apr-2013","        793.90","        797.80","        799.00","        771.00","        775.50","        776.55","        786.99","    2130749","          1676875960.50","      61301","     854795","         40.12"
"RELIANCE","EQ","04-Apr-2013","        776.55","        772.50","        777.95","        764.20","        769.15","        767.55","        769.23","    2723719","          2095155132.95","      79959","    1371301","         50.35"
