date,close_10_sma,close_10_ema,kdjk_10,kdjd_10,macd,rsi_10,wr_10,cci_10,Momentum,ADOsc,OpenPrice,UpDown
17-Jan-2011,1039.665,1024.6557194308937,15.649857836475828,26.622877337918652,-7.357459563001839,26.203086891731985,94.1117262204328,-104.64119519960822,-79.19999999999993,441759.50516223337,1003.0,0.0
18-Jan-2011,1031.44,1018.7005912391215,12.027584382765612,21.757779686200973,-8.228825036881517,25.31951768842673,95.21696252465482,-90.86374934589273,-80.94999999999993,56022.36977213208,1004.85,1.0
19-Jan-2011,1021.875,1011.1342955701288,9.493189130320252,17.66958283424073,-9.596270629841683,21.446726265097297,95.57560137457047,-108.08662548284076,-105.44999999999993,246229.57189864025,999.6,0.0
20-Jan-2011,1010.3,1003.1468844307135,10.157621582375679,15.165595750285714,-11.092134909854622,19.164571123252458,88.51351351351346,-143.01389529816004,-95.55000000000007,-185369.42017614478,977.6,0.0
21-Jan-2011,1002.4399999999999,1000.0206348470924,16.046984995095425,15.459392165222283,-11.072875792605487,32.3308955769116,72.17428817946508,-77.36512303224914,-46.65000000000009,-853300.3360778331,975.0,0.0
24-Jan-2011,996.2549999999999,994.6361040843946,16.734456627992472,15.884413652812345,-11.840963073775242,27.81652634148631,81.89060010621343,-88.93246637080028,-42.14999999999998,-1523409.764946551,995.1,1.0
25-Jan-2011,990.7299999999999,987.8417233267757,12.712647996281836,14.82715843396884,-13.09047893334025,24.535834926555694,95.33096926713944,-105.20874231121739,-72.29999999999995,-607353.6999221893,977.1,0.0
27-Jan-2011,981.9200000000001,979.4064191498676,9.382814246638736,13.012377038192138,-14.882892345649452,21.187123216220158,97.27685325264746,-141.20683459113448,-72.64999999999998,-1281180.4909999473,966.0,0.0
28-Jan-2011,971.6850000000001,967.0598191698688,9.124275747107099,11.716343274497124,-17.98457497429456,16.48728491961957,91.39280125195619,-186.53536438062025,-88.5,-2413716.1583630773,945.0,0.0
31-Jan-2011,963.4649999999999,958.2164010129006,11.523102070398428,11.651929539797557,-19.747502395875358,20.636566994977272,83.67924528301891,-146.76462165871862,-78.60000000000002,-2887287.2453869237,908.85,0.0
01-Feb-2011,953.225,946.6422858747767,9.621512723924065,10.975123934506392,-22.447496741942587,17.075448842594312,94.18166596902466,-129.3548073180231,-99.35000000000002,-3271392.0515553,925.1,1.0
02-Feb-2011,945.8699999999999,941.978173367448,15.788894556753721,12.579714141922167,-22.539822919932476,31.345300038969683,71.87634177758696,-74.06730065837662,-58.85000000000002,-4186453.807917252,910.0,0.0
03-Feb-2011,942.2449999999999,942.3310895438698,27.712701944837832,17.62404340956072,-20.8088150294858,41.19449088738195,48.43968327899393,-23.011528018872774,-25.950000000000045,-3213109.4771998357,928.0,1.0
04-Feb-2011,937.2599999999999,938.2377421430501,28.240698983253175,21.16292860079154,-20.86181951500396,35.25208818453733,70.70330693991612,-37.32167119565269,-66.79999999999995,-1943809.6041667517,947.4,1.0
07-Feb-2011,931.4849999999999,936.5561011679221,31.40281966062554,24.576225620736203,-20.028713346910195,38.95691235416604,62.272938984629725,-25.236020334060186,-42.55000000000007,-2080408.1306981854,925.7,0.0
08-Feb-2011,925.8499999999998,932.6611492786739,30.167578252311912,26.440009831261438,-20.11444957677054,35.51397502522288,72.30290456431533,-40.393822914559934,-43.25,-3165061.7001440693,935.7,1.0
09-Feb-2011,921.4299999999997,929.3078850055405,30.997366689450804,27.959128783991225,-20.01354717785432,35.275512613413525,67.34305643627141,-41.654086151368666,-28.40000000000009,-4929519.552146457,908.4,0.0
