"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","01-Jan-2003","        898.50","        905.00","        924.95","        903.50","        924.15","        922.50","        916.25","     172546","           158094697.60","-","      77394","         44.85"
"DRREDDY","EQ","02-Jan-2003","        922.50","        925.00","        925.00","        904.65","        915.00","        909.85","        910.02","     163232","           148543724.55","-","      55837","         34.21"
"DRREDDY","EQ","03-Jan-2003","        909.85","        920.00","        923.70","        905.55","        916.00","        912.20","        912.96","     352558","           321869984.40","-","     150835","         42.78"
"DRREDDY","EQ","06-Jan-2003","        912.20","        920.00","        925.80","        915.35","        918.15","        921.80","        921.45","     135747","           125083522.90","-","      57471","         42.34"
"DRREDDY","EQ","07-Jan-2003","        921.80","        925.00","        949.90","        925.00","        945.05","        945.50","        941.40","     404023","           380348494.20","-","     227398","         56.28"
"DRREDDY","EQ","08-Jan-2003","        945.50","        950.00","        958.00","        943.50","        949.85","        947.80","        951.06","     298562","           283949544.25","-","     188129","         63.01"
"DRREDDY","EQ","09-Jan-2003","        947.80","        950.00","        974.40","        950.00","        970.10","        969.95","        962.55","     270506","           260374832.25","-","     140462","         51.93"
"DRREDDY","EQ","10-Jan-2003","        969.95","        972.00","        990.00","        962.10","        988.90","        985.85","        979.04","     180631","           176845216.40","-","      74842","         41.43"
"DRREDDY","EQ","13-Jan-2003","        985.85","        984.00","        994.95","        977.15","        977.20","        982.70","        985.40","     214806","           211669639.60","-","     125182","         58.28"
"DRREDDY","EQ","14-Jan-2003","        982.70","        977.00","        985.00","        966.00","        978.00","        977.55","        974.35","      92389","            90018859.50","-","      39667","         42.93"
"DRREDDY","EQ","15-Jan-2003","        977.55","        976.00","       1001.60","        976.00","        989.00","        992.60","        990.97","     170141","           168604284.50","-","      77240","         45.40"
"DRREDDY","EQ","16-Jan-2003","        992.60","        990.00","       1002.90","        985.05","       1000.00","       1000.65","        998.08","     194846","           194472062.60","-","     112343","         57.66"
"DRREDDY","EQ","17-Jan-2003","       1000.65","        998.75","        999.90","        978.10","        979.00","        980.60","        983.71","     146655","           144266555.65","-","      80180","         54.67"
"DRREDDY","EQ","20-Jan-2003","        980.60","        975.00","        975.00","        959.10","        961.00","        961.00","        965.15","     231517","           223449474.65","-","     136415","         58.92"
"DRREDDY","EQ","21-Jan-2003","        961.00","        961.50","        967.50","        952.20","        960.00","        956.95","        959.57","      71628","            68732115.45","-","      19660","         27.45"
"DRREDDY","EQ","22-Jan-2003","        956.95","        958.10","        963.40","        947.50","        952.00","        948.55","        954.36","      78735","            75141204.55","-","      39868","         50.64"
"DRREDDY","EQ","23-Jan-2003","        948.55","        948.90","        948.90","        883.80","        905.00","        904.05","        914.75","     493753","           451660442.90","-","     129951","         26.32"
"DRREDDY","EQ","24-Jan-2003","        904.05","        904.00","        926.00","        900.00","        914.95","        920.10","        916.66","     284394","           260691518.10","-","     145769","         51.26"
"DRREDDY","EQ","27-Jan-2003","        920.10","        895.00","        922.45","        883.00","        900.10","        901.20","        893.31","     262710","           234681529.05","-","     170445","         64.88"
"DRREDDY","EQ","28-Jan-2003","        901.20","        895.00","        900.00","        867.75","        893.00","        895.65","        889.03","     276312","           245648807.25","-","     183679","         66.48"
"DRREDDY","EQ","29-Jan-2003","        895.65","        870.00","        914.75","        855.00","        903.00","        904.25","        893.06","     522654","           466761439.30","-","     193587","         37.04"
"DRREDDY","EQ","30-Jan-2003","        904.25","        890.30","        904.50","        885.05","        904.50","        899.95","        895.63","     108764","            97412578.80","-","      36710","         33.75"
"DRREDDY","EQ","31-Jan-2003","        899.95","        905.00","        908.00","        883.15","        903.05","        903.70","        900.66","      99183","            89330258.30","-","      43666","         44.03"
"DRREDDY","EQ","03-Feb-2003","        903.70","        901.90","        916.90","        901.00","        910.00","        915.40","        912.39","      53830","            49114065.15","-","      17859","         33.18"
"DRREDDY","EQ","04-Feb-2003","        915.40","        914.80","        917.00","        904.00","        906.60","        905.15","        908.89","      74716","            67908345.50","-","      37320","         49.95"
"DRREDDY","EQ","05-Feb-2003","        905.15","        892.00","        929.00","        882.00","        915.05","        917.00","        916.35","     202240","           185322160.60","-","     113022","         55.89"
"DRREDDY","EQ","06-Feb-2003","        917.00","        905.00","        915.50","        817.05","        915.00","        914.80","        912.40","      41469","            37836423.20","-","      20639","         49.77"
"DRREDDY","EQ","07-Feb-2003","        914.80","        918.10","        935.00","        918.00","        918.00","        921.45","        926.29","     102813","            95235137.65","-","      47913","         46.60"
"DRREDDY","EQ","10-Feb-2003","        921.45","        910.00","        918.50","        903.25","        903.25","        906.55","        908.81","      63216","            57451276.55","-","      38117","         60.30"
"DRREDDY","EQ","11-Feb-2003","        906.55","        903.10","        909.90","        900.00","        906.00","        907.15","        906.02","      62563","            56683447.00","-","      39062","         62.44"
"DRREDDY","EQ","12-Feb-2003","        907.15","        928.00","        928.00","        898.50","        905.00","        905.10","        904.49","      35194","            31832643.40","-","      21122","         60.02"
